weight_g	length_cm	ab_fat	other_fat	total_fat	X100xfat_weight	Trigly	Total_Chol	HDL_Chol	UC	FFA	Glucose	LDL_plus_VLDL	MCP_1_phys	Insulin_ug_l	Glucose_Insulin	Leptin_pg_ml	Adiponectin	Aortic.lesions	Aneurysm	Aortic_cal_M	Aortic_cal_L	CoronaryArtery_Cal	Myocardial_cal	BMD_all_limbs	BMD_femurs_only
MEmagenta	-0.0174181094656901	0.0803502680745541	-0.00561851525981489	-0.0326738244554851	-0.0166339646325576	-0.062919892060577	0.0230436650579946	-0.0373703902720607	0.0525811846772852	-0.0736095491319955	-0.129543513023995	-0.0946767346461363	-0.0392476151218454	-0.0278880052085115	-0.0107531263656567	0.0824118339861446	-0.0635014493606171	0.0506705319869798	0.0154731389032738	-0.00114232392980119	0.190648807967482	-0.0942081868818996	-0.052788438256671	-0.034074906040393	0.0800500381390069	0.0153308558000055
MEblack	-0.312679561233613	-0.154584527817759	-0.273579730076034	-0.14816318112309	-0.235879830649301	-0.179727392848446	-0.073200409486232	-0.156567982108548	-0.07047748413488	-0.196130038192654	-0.237699682763772	-0.283216411092412	-0.154048244582814	0.055104496106139	-0.327994135582444	0.445454007757925	-0.365818966559681	-0.117017529389218	0.175892505854781	0.0955120330411028	0.0838542267729423	0.0437306900108434	0.0301591763644292	-0.0435167289758805	-0.27083238592392	-0.29304309420105
MEturquoise	-0.272907077918976	-0.14576754259822	-0.327453262898653	-0.058591887935505	-0.239137507352381	-0.210423954495721	0.0110612257276808	-0.0935192740580419	-0.145488188528494	-0.0626666992956528	0.0287341916733137	-0.0599776694029094	-0.0883217142649581	0.0203185575018479	-0.0968430717866291	0.225063178473666	-0.384561721018535	-0.124981976900761	0.091308906080669	0.175650893052843	0.1346125984703	0.0539144738147103	0.0629150385537952	0.0254089280735403	-0.250537473993601	-0.217049397618189
MEgreen	0.00133980397414223	-0.1333052542246	-0.03423677090564	0.216387705773486	0.0784500643142459	0.114787333283907	-0.0999864858013711	0.0359805011646124	-0.184846185259414	0.0295978228710201	-0.0129475606140588	-0.0263917830271563	0.042581435664106	0.0510515040238984	-0.0505646130902363	0.145885339205296	-0.215603547499779	-0.104235354015612	0.165475776206907	0.217046410046476	0.156804501004478	0.0744816281162097	0.0433501916720927	-0.00160260967854983	-0.282464690888557	-0.223438435458586
MElightcyan	-0.128053857888624	-0.11792914494512	-0.195743227093394	0.0762015530069154	-0.0870714420044869	-0.0864189176364877	-0.0503824741096109	-0.103736721960676	-0.104306133300775	-0.112992749256233	-0.0811045605855884	-0.161290090151089	-0.100009752337389	0.0673650057286725	-0.122706285918105	0.245411111247247	-0.298423072227986	-0.115110638692568	0.175763616702903	0.206081954202109	0.203853757867027	0.0333903614630776	0.12352906549458	0.0591231831943818	-0.291718970991574	-0.26769608314999
MEblue	0.314323100908506	0.0356965108232643	0.291814216086072	0.22738421402096	0.287771437084375	0.264734795261738	-0.0105510754627068	0.0984414003034095	-0.0858962663212777	0.0676010599437806	0.0650863617478907	0.154745112488432	0.101507372715982	0.237577306268124	0.0204064126404464	-0.12032603130837	0.253864333079566	0.0615363220984061	0.185759726424732	-0.0864039543024727	-0.164746789408543	-0.0865135883910429	-0.215594257201979	-0.175507802701769	-0.0881748997244577	-0.0225848935210189
MEbrown	0.591340840413356	0.100773285508265	0.484657313009448	0.471273790857985	0.532683904078679	0.51202439768744	-0.147395138035333	0.325258649559984	0.0750749085224898	0.334262421788922	0.324612549501332	0.339195732743057	0.322571791137216	0.125440864415525	0.344033378263893	-0.427112675875247	0.433354480953157	0.0689459744957953	-0.105409086361685	-0.0823390145092401	-0.117089730475754	0.0711849692395786	-0.0976319248305027	0.00926600536938384	-0.0323636675723852	0.0677153227840444
MEred	0.509942529342568	0.153325068537341	0.415810241192747	0.426686899704751	0.465329594904789	0.44664573812972	0.0354956088506737	0.340622801953523	0.104270908619772	0.279001034937156	0.20266641183413	0.286024871952468	0.336892976673421	0.0955503257381828	0.268853324489144	-0.405937857487272	0.421172466523781	0.127882693442497	-0.102441422692806	-0.159704933483254	-0.105076950650505	-0.0919288455220271	-0.142596022897496	-0.028845578324023	0.0702594764503164	0.122190847444034
MEsalmon	0.432058666124777	0.221010915719445	0.361657173182656	0.29710687300055	0.374253830192596	0.323219703849892	0.165963897771324	0.268555679569537	0.125678511642919	0.294479831846657	0.350160331234531	0.331385645702502	0.26406255896668	-0.107018632848262	0.467168417426426	-0.576788083662984	0.262919045376201	-0.0112310072113152	-0.120031753603652	-0.0813394135919664	-0.0614946811624621	0.149201972356686	0.0320193813357854	0.134451054532254	0.127432583611383	0.170548589320839
MEyellow	0.219900538461397	0.0499413536207547	0.181270113593212	0.218404484117648	0.214744388910404	0.197639138792552	0.100419631468348	0.299169765898054	0.0750440990095922	0.367037252616371	0.420932592415084	0.414451674283409	0.296484460848579	-0.16136733418438	0.41318205710968	-0.464337409999257	0.195944972741582	0.0128546226308473	-0.106391065510882	-0.00255038430510169	-0.0458698220596901	0.132098265621311	0.0295427655891158	0.0848819442920384	0.222682073580512	0.330054374182202
